k,silhouette,davies,score
5,0.4242543545404957,0.8216322684327937,0.25992790085393697
6,0.4080450219326239,0.8461384236799437,0.23881733719663512
7,0.40389433665040053,0.8417253537950159,0.23554926589139735
8,0.3974630484383624,0.8636052639921832,0.22474199563992575
9,0.39882209409164443,0.7986028062415229,0.23910153284333985
10,0.4010472633955761,0.8074954739573872,0.23954816860409867
11,0.40597303463997025,0.7841219639919043,0.24914864184158939
12,0.39958983560848294,0.7861132152888463,0.24236719255071368
13,0.40232142090154577,0.7820872524031504,0.2459039704209157
14,0.4006233236091733,0.7713968739326165,0.24634394882264998
15,0.40208458444569073,0.7824577018377409,0.24559304407814253
16,0.3961704139459282,0.8041108839489407,0.23534823715614006
17,0.3971911963157779,0.7894011168287948,0.2393109729500189
18,0.40346161661621993,0.7567933744711767,0.25210294172198455
19,0.4056680746156152,0.7599844748451592,0.25367117964658337
20,0.41059296177175153,0.7308908315172802,0.2644147954682955
21,0.4100970080740131,0.742301619761047,0.26163668412180374
22,0.3979685252015592,0.7666751949117725,0.24463348621920467
23,0.4013368966120528,0.7728684461022813,0.24676320739159652
24,0.39623142963633307,0.7728797088508665,0.24165548786615976
25,0.3971520312051225,0.7631307061141013,0.24452588998230224
26,0.3943168136106469,0.7736863266143253,0.23957954828778183
27,0.3974639171965162,0.770339934021483,0.24339593039221957
28,0.3992373930526021,0.7677168543127812,0.24569402219004582
29,0.4018486566205798,0.7508349818103708,0.2516816602585056
30,0.3988907723044621,0.7538585219066559,0.24811906792313093
